episode,timestep,reward
2115,216000,0.0
2120,216288,0.5463
2124,216576,0.3953
2127,216864,0.3021
2129,217152,0.1219
2131,217440,0.0
2135,217728,0.6438
2139,218016,0.4094
2143,218304,0.4734
2145,218592,0.0
2147,218880,0.0
2150,219168,0.3104
2153,219456,0.3854
2156,219744,0.5479
2162,220032,0.5927
2164,220320,0.0
2168,220608,0.5328
2170,220896,0.3969
2173,221184,0.3167
2176,221472,0.2896
2179,221760,0.3812
2182,222048,0.2938
2184,222336,0.0
2187,222624,0.2583
2191,222912,0.4375
2193,223200,0.0
2195,223488,0.2625
2198,223776,0.3125
2200,224064,0.0
2202,224352,0.0
2205,224640,0.2833
2207,224928,0.0
2210,225216,0.2917
2215,225504,0.595
2217,225792,0.2969
2219,226080,0.1906
2222,226368,0.2188
2224,226656,0.0
2226,226944,0.0
2228,227232,0.0
2230,227520,0.0
2232,227808,0.0
2235,228096,0.2063
2237,228384,0.0
2239,228672,0.2313
2242,228960,0.4917
2246,229248,0.3266
2248,229536,0.0
2250,229824,0.0
2252,230112,0.3438
2254,230400,0.0
2258,230688,0.4328
2260,230976,0.0
2262,231264,0.0
2265,231552,0.2667
2267,231840,0.0
2269,232128,0.0
2271,232416,0.0
2273,232704,0.2781
2276,232992,0.2708
2278,233280,0.0
2280,233568,0.0
2282,233856,0.0
2284,234144,0.0
2286,234432,0.0
2288,234720,0.0
2292,235008,0.4078
2295,235296,0.6
2299,235584,0.4391
2301,235872,0.0
2303,236160,0.0
2306,236448,0.3646
2308,236736,0.1
2312,237024,0.3781
2314,237312,0.1469
2318,237600,0.4328
2320,237888,0.2406
2322,238176,0.1594
2327,238464,0.6225
2334,238752,0.6464
2336,239040,0.3781
2343,239328,0.6196
2345,239616,0.2625
2348,239904,0.2437
2350,240192,0.2062
2354,240480,0.4172
2357,240768,0.2938
2360,241056,0.3708
2363,241344,0.3521
2365,241632,0.0
2367,241920,0.3594
2369,242208,0.0
2372,242496,0.2542
2375,242784,0.2563
2379,243072,0.6312
2383,243360,0.3656
2386,243648,0.4125
2388,243936,0.0562
2391,244224,0.2875
2393,244512,0.0
2395,244800,0.0
2397,245088,0.0
2400,245376,0.4562
2402,245664,0.1781
2406,245952,0.4062
2408,246240,0.0
2412,246528,0.5109
2414,246816,0.0
2416,247104,0.0
2418,247392,0.4062
2423,247680,0.4475
2425,247968,0.0
2429,248256,0.5203
2433,248544,0.5484
2439,248832,0.701
2441,249120,0.3563
2447,249408,0.55
